Bet ID,Date Logged,Game Date,Matchup,Market,Selection,Odds,Stake,Model Probability,Market Probability,Edge,EV/Unit,Kelly,Result,Profit,Closing Odds,CLV,Notes
1,2026-05-26 13:26,2026-05-26,Chicago Cubs at Pittsburgh Pirates,Moneyline,Pittsburgh Pirates,-112.0,10.0,0.45695811556865173,0.5089094796863863,-0.0519513641177346,-0.13504356695933778,0.0,Open,,,,FanDuel: live odds
2,2026-05-26 13:27,2026-05-26,Philadelphia Phillies at San Diego Padres,Moneyline,Philadelphia Phillies,-154.0,10.0,0.44485979190089475,0.5823742190069057,-0.13751442710601092,-0.2662702133582645,0.0,Open,,,,FanDuel: live odds
