Model,Accuracy,Precision,Recall,F1,ROC_AUC,Brier_Score,Log_Loss
Calibrated Random Forest,0.6858585858585858,0.6881977671451356,0.7888482632541134,0.7350936967632027,0.7373071256721456,0.20613150753880244,0.600053997731751
Calibrated Gradient Boosting,0.6828282828282828,0.6897394136807817,0.7742230347349177,0.7295434969853575,0.7364859009330599,0.2065713233341921,0.6010069049592297
Calibrated Logistic Regression,0.6757575757575758,0.6861614497528831,0.7614259597806216,0.7218370883882149,0.7345494199842357,0.20663177638447736,0.6004394095371288
