Model,Accuracy,ROC_AUC,Brier_Score,Log_Loss,Optimized_Model_Weight,Blend_Accuracy,Blend_ROC_AUC,Blend_Brier_Score,Blend_Log_Loss
Gradient Boosting,0.5428249436513899,0.5480376186848763,0.24775270125147295,0.6887172203718687,0.75,0.5435762584522915,0.5509387100869676,0.24761060919605937,0.6884046115558788
Logistic Regression,0.5420736288504884,0.5483054248170417,0.24793766009543733,0.6890011670552065,0.75,0.5435762584522915,0.5504858485005124,0.24780174325863885,0.6887077332125736
Random Forest,0.5386927122464312,0.5488092970953379,0.24793858877997435,0.689097779533414,0.7,0.5375657400450788,0.5514845244896663,0.24775861819036613,0.6886954819618575
