TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GAME_DATE,ROLLING_PTS_5,ROLLING_PLUS_MINUS_5,ROLLING_FG_PCT_5,ROLLING_FG3_PCT_5,ROLLING_FT_PCT_5,ROLLING_REB_5,ROLLING_AST_5,ROLLING_TOV_5,ROLLING_OFF_RATING_5,ROLLING_DEF_RATING_5,ROLLING_NET_RATING_5,ROLLING_PACE_5,ROLLING_EFG_PCT_5,ROLLING_TOV_RATE_5,ROLLING_OREB_PCT_5,ROLLING_FT_RATE_5,ROLLING_WIN_PCT_5,ROLLING_PTS_10,ROLLING_PLUS_MINUS_10,ROLLING_FG_PCT_10,ROLLING_FG3_PCT_10,ROLLING_FT_PCT_10,ROLLING_REB_10,ROLLING_AST_10,ROLLING_TOV_10,ROLLING_OFF_RATING_10,ROLLING_DEF_RATING_10,ROLLING_NET_RATING_10,ROLLING_PACE_10,ROLLING_EFG_PCT_10,ROLLING_TOV_RATE_10,ROLLING_OREB_PCT_10,ROLLING_FT_RATE_10,ROLLING_WIN_PCT_10,SEASON_AVG_PTS,SEASON_AVG_PLUS_MINUS,SEASON_AVG_FG_PCT,SEASON_AVG_FG3_PCT,SEASON_AVG_FT_PCT,SEASON_AVG_REB,SEASON_AVG_AST,SEASON_AVG_TOV,SEASON_AVG_OFF_RATING,SEASON_AVG_DEF_RATING,SEASON_AVG_NET_RATING,SEASON_AVG_PACE,SEASON_AVG_EFG_PCT,SEASON_AVG_TOV_RATE,SEASON_AVG_OREB_PCT,SEASON_AVG_FT_RATE,SEASON_WIN_PCT,ELO,DAYS_REST,IS_BACK_TO_BACK,IS_THIRD_IN_FOUR_DAYS,GAMES_LAST_7_DAYS,CURRENT_ROAD_STREAK,PLAYER_TOP_5,PLAYER_TOP_8,PLAYER_DEPTH,STAR_COUNT
1610612760,Oklahoma City Thunder,OKC,2026-05-11,122.0,14.6,0.534,0.4248,0.845,38.4,26.4,13.8,125.02571112979165,110.01635300296036,15.009358126831273,97.576,0.6186965037220947,0.1412516965436654,0.2835643706968571,0.24613941169310177,1.0,118.0,8.1,0.4946,0.3811,0.7926,41.1,26.4,11.8,120.26741816826127,110.3241788217088,9.943239346552454,98.822,0.5751519633353869,0.12000522791004242,0.2758808873880805,0.2199452355234388,0.8,119.22222222222223,11.633333333333333,0.48696666666666666,0.36678888888888894,0.8184444444444444,43.855555555555554,25.77777777777778,12.511111111111111,117.03921560772251,105.09384467205223,11.945370935670278,102.18977777777778,0.5651791019586192,0.12284905423695794,0.2269054963368079,0.2621585341842019,0.8,1794.9,3.0,0,0,2,2,42.77,62.290000000000006,30.32,7
1610612759,San Antonio Spurs,SAS,2026-05-12,117.0,13.4,0.4824,0.3254,0.7820000000000001,48.2,24.2,13.8,114.73732631425727,98.8506567232271,15.886669591030195,103.372,0.5451126654915471,0.13557471996778966,0.2549345508524133,0.31582455747947974,0.6,114.7,12.9,0.4842000000000001,0.36829999999999996,0.7766,46.3,24.4,14.5,114.17668021584493,99.81930728717627,14.357372928668664,101.268,0.5538195358618234,0.14446463235996168,0.26138654792725874,0.30348027049137233,0.7,119.27173913043478,8.804347826086957,0.48430434782608694,0.3595434782608696,0.7864456521739129,46.94565217391305,27.67391304347826,13.565217391304348,116.38858141945664,107.62159935920498,8.766982060251685,102.60108695652173,0.5594878255224449,0.13219234340283395,0.26034738923024797,0.2803282389567321,0.75,1701.4,2.0,0,0,2,0,42.160000000000004,63.06,31.879999999999995,8
1610612752,New York Knicks,NYK,2026-05-10,127.4,28.0,0.5526,0.409,0.7565999999999999,43.6,30.0,12.8,130.8625365670662,101.92247031464635,28.940066252419843,97.304,0.6388842229865861,0.13256573024690693,0.3095545990282832,0.33171411976875004,1.0,120.4,19.4,0.518,0.40099999999999997,0.7664,44.7,26.2,13.3,122.72162511300469,102.9586498678821,19.762975245122597,98.12,0.5957340094889592,0.13560668063934517,0.29106535166031733,0.32664573704412,0.8,116.8804347826087,7.75,0.48224999999999996,0.3749673913043478,0.7907391304347826,45.51086956521739,27.304347826086957,13.608695652173912,117.4782484718422,109.45330330595854,8.024945165883672,99.61565217391303,0.5615541371284357,0.1369024889236629,0.2911803804975955,0.24917159227391641,0.6630434782608695,1662.4,4.0,0,0,1,2,42.330000000000005,60.510000000000005,27.099999999999998,5
1610612738,Boston Celtics,BOS,2026-05-02,105.2,0.4,0.42960000000000004,0.3438,0.728,47.0,22.2,12.0,110.10883157075106,109.65427378119952,0.45455778955154924,95.62,0.5221994106157805,0.1260320911698543,0.27578788600460424,0.22964642246847528,0.4,110.9,4.5,0.44489999999999996,0.3587,0.7798999999999999,46.0,24.8,12.5,113.3374844077518,109.09021284747828,4.247271560273534,97.85400000000001,0.5429493963498759,0.12816315046887125,0.265569092929774,0.21945235014926384,0.5,114.20224719101124,7.314606741573034,0.46508988764044945,0.3641685393258427,0.7964831460674158,46.40449438202247,24.573033707865168,12.325842696629213,116.37803243160656,109.58299100085965,6.795041430746909,97.86134831460674,0.5512043634915471,0.12559456907046115,0.2888805658238349,0.2124644171352928,0.6629213483146067,1639.5,7.0,0,0,0,0,43.29,62.52,28.82,6
1610612739,Cleveland Cavaliers,CLE,2026-05-13,108.6,0.0,0.4673999999999999,0.3406,0.8188000000000001,37.4,22.6,15.6,112.14194595705939,111.9197857006205,0.22216025643891157,96.988,0.5451532301532303,0.1610026522206902,0.2719558511663775,0.36452182952182954,0.6,108.5,-1.1,0.45569999999999994,0.33140000000000003,0.7713,43.2,21.7,16.8,109.9294051700189,109.7292452227397,0.2001599472791753,99.412,0.532490503097114,0.1703175586477519,0.30032215880808805,0.3442223291622951,0.5,118.37234042553192,3.7127659574468086,0.48093617021276597,0.35998936170212764,0.7732553191489361,44.07446808510638,27.48936170212766,14.319148936170214,115.70562277492824,111.6819916151837,4.023631159744536,102.54659574468084,0.5604370393641898,0.13992954313257683,0.2685204308658075,0.2778076579493786,0.6276595744680851,1632.0,1.0,0,0,3,1,42.43,60.68999999999999,28.720000000000002,6
1610612765,Detroit Pistons,DET,2026-05-13,108.6,0.0,0.4654000000000001,0.40259999999999996,0.7978,40.4,23.6,15.2,111.9197857006205,112.14194595705939,-0.22216025643891157,96.988,0.5282530120481927,0.15623334599168626,0.34062662578966924,0.2527059074934789,0.4,106.1,2.9,0.45410000000000006,0.37320000000000003,0.7923,43.5,22.6,15.4,109.96406153829612,105.51563036992832,4.44843116836781,97.22,0.5174649206582427,0.158595833563856,0.320311729112763,0.2924845893278011,0.5,116.13829787234043,7.468085106382978,0.482404255319149,0.356468085106383,0.7628404255319148,45.3936170212766,27.106382978723403,15.23404255319149,113.58416910427785,106.34817888195225,7.235990222325581,102.27553191489362,0.5442476364328016,0.14839811142733392,0.30562175514314266,0.2968265233594671,0.7021276595744681,1631.2,1.0,0,0,3,0,39.949999999999996,59.12,30.73,7
1610612743,Denver Nuggets,DEN,2026-04-30,105.8,-7.6,0.43620000000000003,0.3158,0.8048,36.6,24.0,11.6,105.23936437836923,112.57277193263826,-7.333407554269027,100.668,0.49712737876221774,0.11573081987177189,0.1617722472976323,0.3586038640842636,0.2,117.3,2.5,0.4727,0.3417,0.8266,43.4,27.3,12.5,114.04579138800602,112.99881002638037,1.0469813616256303,102.16999999999999,0.5394093429676021,0.12165159953566454,0.22356028783517545,0.3003071707195034,0.6,121.07954545454545,4.488636363636363,0.4927159090909091,0.38994318181818177,0.8099886363636363,43.59090909090909,28.65909090909091,12.829545454545455,118.5398841090589,114.44823250236558,4.0916516066933255,102.03818181818183,0.5721959494616964,0.12525039150383696,0.23101183725284652,0.30192076905449433,0.6363636363636364,1628.7,7.0,0,0,0,1,41.24,61.349999999999994,30.64,7
1610612750,Minnesota Timberwolves,MIN,2026-05-12,103.6,-13.4,0.4142,0.3356,0.7305999999999999,46.8,19.6,16.0,98.8506567232271,114.7373263142573,-15.886669591030195,103.372,0.4708558476329562,0.1516389146121408,0.2617475804244546,0.27864312181025847,0.4,108.5,-2.9,0.4423,0.33849999999999997,0.7544,47.4,23.3,14.8,105.71171432793267,109.98834534631325,-4.276631018380584,102.02,0.4995031979652319,0.14231610755006127,0.2827819960982315,0.2783759991678324,0.6,116.83870967741936,2.5268817204301075,0.477258064516129,0.36791397849462365,0.751247311827957,44.43010752688172,25.72043010752688,14.78494623655914,113.1232663026965,110.31265044411275,2.8106158585837764,103.55591397849463,0.5526707810311305,0.14290977869008792,0.2577111909455117,0.28718308288966116,0.5913978494623656,1613.8,2.0,0,0,2,1,41.49,62.32,30.429999999999996,7
1610612747,Los Angeles Lakers,LAL,2026-05-11,102.6,-8.8,0.45840000000000003,0.393,0.7636000000000001,39.8,23.6,17.2,105.89051642429577,114.77017888509003,-8.879662460794265,96.964,0.5283800114110756,0.17721536608003435,0.27158442030782454,0.2720953684716628,0.2,102.2,-4.9,0.4758,0.3855,0.7632999999999999,39.4,23.8,18.1,106.33582134333778,110.31191150127079,-3.9760901579329895,96.636,0.5430180422242805,0.18774766079120617,0.257420341706721,0.3187415358004358,0.4,114.80434782608695,1.0326086956521738,0.49979347826086956,0.36367391304347824,0.7593695652173913,40.81521739130435,25.652173913043477,14.880434782608695,114.70091655179348,113.04591939880815,1.6549971529853327,100.35521739130435,0.5701750870405506,0.14863173921861636,0.2397502818642852,0.3225722114032514,0.6195652173913043,1610.7,3.0,0,0,2,0,41.19,57.08,22.9,4
1610612745,Houston Rockets,HOU,2026-05-01,98.8,-1.2,0.4166,0.2904,0.7604,41.0,20.2,14.0,101.5927355286639,104.63191030735227,-3.039174778688377,96.476,0.47564896557874087,0.1432771482837779,0.2694536299028757,0.29284528126689713,0.4,108.8,3.7,0.4427,0.2994,0.7631,46.0,22.4,14.1,108.81866198250736,107.17109917884707,1.647562803660314,98.94399999999999,0.500047481888899,0.1412985440676975,0.33343433709747655,0.2780166869282735,0.5,114.10227272727273,4.693181818181818,0.4761818181818182,0.36113636363636364,0.7640227272727272,47.67045454545455,25.09090909090909,15.272727272727273,114.00605988746423,110.00890723424746,3.9971526532167627,99.8559090909091,0.540139135740366,0.15217830215147143,0.3418805470603372,0.26477509716654973,0.6136363636363636,1584.9,7.0,0,0,0,0,42.06,60.209999999999994,25.85,6
