Bucket,Games,Average_Predicted_Probability,Actual_Home_Win_Rate
"(-0.001, 0.4]",475,0.313957312793405,0.27789473684210525
"(0.4, 0.5]",251,0.4504218732186354,0.3944223107569721
"(0.5, 0.6]",364,0.5509331810263922,0.5494505494505495
"(0.6, 0.7]",373,0.6483706300055296,0.6675603217158177
"(0.7, 0.8]",373,0.7492579636083393,0.7801608579088471
"(0.8, 1.0]",144,0.8221636466257465,0.8541666666666666
