REPORT_TIMESTAMP,SOURCE_URL,GAME_DATE,GAME_TIME,MATCHUP,TEAM,PLAYER_NAME_REPORT,PLAYER_NAME,CURRENT_STATUS,STATUS_WEIGHT,REASON
2026-05-15T19:30,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2026-05-15_07_30PM.pdf,05/15/2026,07:00 (ET),DET@CLE,Detroit Pistons,"Huerter, Kevin",Kevin Huerter,Available,0.0,Injury/Illness - Left Adductor; Strain
2026-05-15T19:30,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2026-05-15_07_30PM.pdf,05/15/2026,07:00 (ET),DET@CLE,Detroit Pistons,"LeVert, Caris",Caris LeVert,Available,0.0,Injury/Illness - Right Heel; Contusion
2026-05-15T19:30,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2026-05-15_07_30PM.pdf,05/15/2026,07:00 (ET),DET@CLE,Detroit Pistons,"Robinson, Duncan",Duncan Robinson,Available,0.0,Injury/Illness - Low Back; Soreness
2026-05-15T19:30,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2026-05-15_07_30PM.pdf,05/15/2026,07:00 (ET),DET@CLE,Cleveland Cavaliers,"Nance Jr., Larry",Larry Nance Jr.,Out,1.0,Injury/Illness - Illness; Illness
2026-05-15T19:30,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2026-05-15_07_30PM.pdf,05/15/2026,09:30 (ET),SAS@MIN,Minnesota Timberwolves,"DiVincenzo, Donte",Donte DiVincenzo,Out,1.0,Injury/Illness - Right Achilles Tendon; Repair Shannon
2026-05-15T19:30,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2026-05-15_07_30PM.pdf,05/15/2026,09:30 (ET),SAS@MIN,Minnesota Timberwolves,"Jr., Terrence",Terrence Jr.,Questionable,0.5,Injury/Illness - Head; Contusion
