GAME_PK,GAME_DATE,SEASON,GAME_TYPE,HOME_TEAM,AWAY_TEAM,HOME_WIN,HOME_ELO_WIN_PROB,HOME_PARK_RUN_FACTOR,DIFF_ELO,DIFF_SEASON_WIN_PCT,DIFF_SEASON_RUN_DIFF_PER_GAME,DIFF_SEASON_AVG_RUNS_FOR,DIFF_SEASON_AVG_RUNS_AGAINST,DIFF_SEASON_HOME_WIN_PCT,DIFF_SEASON_AWAY_WIN_PCT,DIFF_SEASON_HOME_RUN_DIFF_PER_GAME,DIFF_SEASON_AWAY_RUN_DIFF_PER_GAME,DIFF_ROLLING_WIN_PCT_5,DIFF_ROLLING_RUN_DIFF_5,DIFF_ROLLING_RUNS_FOR_5,DIFF_ROLLING_RUNS_AGAINST_5,DIFF_ROLLING_WIN_PCT_10,DIFF_ROLLING_RUN_DIFF_10,DIFF_ROLLING_RUNS_FOR_10,DIFF_ROLLING_RUNS_AGAINST_10,DIFF_ROLLING_WIN_PCT_20,DIFF_ROLLING_RUN_DIFF_20,DIFF_ROLLING_RUNS_FOR_20,DIFF_ROLLING_RUNS_AGAINST_20,DIFF_DAYS_REST,DIFF_GAMES_LAST_3_DAYS,DIFF_GAMES_LAST_5_DAYS,DIFF_RUNS_ALLOWED_LAST_3_DAYS,DIFF_BULLPEN_FATIGUE_PROXY,DIFF_PROJECTED_LINEUP_STRENGTH,DIFF_PITCHER_TEAM_WIN_PCT,DIFF_PITCHER_RUNS_ALLOWED_PER_START,DIFF_PITCHER_RUN_SUPPORT_PER_START,DIFF_PITCHER_STARTS,DIFF_PITCHER_DAYS_REST
634576,2021-04-02,2021,R,San Diego Padres,Arizona Diamondbacks,1,0.5504449227813737,0.95,11.172385326556196,1.0,2.0,1.0,-1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-0.039999999999999925,1.0000000000000009,0.0,0.0,0.0,0.0,0.0
634578,2021-04-02,2021,R,Seattle Mariners,San Francisco Giants,0,0.5504449227813737,0.95,11.172385326556196,1.0,2.0,1.0,-1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-0.039999999999999925,1.0000000000000009,0.0,0.0,0.0,0.0,0.0
634602,2021-04-02,2021,R,Miami Marlins,Tampa Bay Rays,0,0.5160728152702749,0.94,-12.827614673443804,-1.0,-2.0,-1.0,1.0,-0.5,-0.5,-1.0,-1.0,-1.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.040000000000000036,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0
634605,2021-04-02,2021,R,Oakland Athletics,Houston Astros,0,0.5160728152702749,0.96,-12.827614673443804,-1.0,-14.0,-7.0,7.0,-0.5,-0.5,-7.0,-7.0,-1.0,-14.0,-7.0,7.0,-1.0,-14.0,-7.0,7.0,-1.0,-14.0,-7.0,7.0,0.0,0.0,0.0,7.0,0.2799999999999999,-7.000000000000001,0.0,0.0,0.0,0.0,0.0
634627,2021-04-02,2021,R,Boston Red Sox,Baltimore Orioles,0,0.5344839447268315,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634631,2021-04-02,2021,R,Los Angeles Angels,Chicago White Sox,0,0.5504449227813737,0.98,11.172385326556196,1.0,2.0,1.0,-1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-0.040000000000000036,1.0,0.0,0.0,0.0,0.0,0.0
634653,2021-04-02,2021,R,Colorado Rockies,Los Angeles Dodgers,0,0.5504449227813737,1.18,11.172385326556196,1.0,6.0,3.0,-3.0,0.5,0.5,3.0,3.0,1.0,6.0,3.0,-3.0,1.0,6.0,3.0,-3.0,1.0,6.0,3.0,-3.0,0.0,0.0,0.0,-3.0,-0.11999999999999988,3.0,0.0,0.0,0.0,0.0,0.0
634573,2021-04-03,2021,R,Detroit Tigers,Cleveland Indians,1,0.5504449227813737,0.97,11.172385326556196,1.0,2.0,1.0,-1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-0.040000000000000036,1.0,0.0,0.0,0.0,0.0,0.0
634575,2021-04-03,2021,R,Milwaukee Brewers,Minnesota Twins,0,0.5504449227813737,1.0,11.172385326556196,1.0,2.0,1.0,-1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-0.039999999999999925,1.0,0.0,0.0,0.0,0.0,0.0
634577,2021-04-03,2021,R,Boston Red Sox,Baltimore Orioles,0,0.5160728152702749,1.05,-12.827614673443804,-1.0,-6.0,-3.0,3.0,-0.5,-0.5,-3.0,-3.0,-1.0,-6.0,-3.0,3.0,-1.0,-6.0,-3.0,3.0,-1.0,-6.0,-3.0,3.0,0.0,0.0,0.0,3.0,0.12,-3.0,0.0,0.0,0.0,0.0,0.0
